data0	data1	data2	data3	data4	data5	data6	data7	data8	class	
0.72	3.61	0.0	5.49	5.66	0.0	0.03	5.45	0.0	[6.0]	
0.91	4.05	0.0	6.06	6.03	0.0	1.23	5.41	0.0	[6.0]	
0.67	4.63	0.0	4.01	7.01	1.12	0.55	6.29	2.56	[6.0]	
1.86	1.26	0.0	5.97	5.33	0.0	1.88	6.84	0.0	[6.0]	
0.67	3.55	0.0	3.09	7.91	0.0	2.31	5.48	0.0	[6.0]	
0.68	4.4	0.0	0.0	10.75	1.96	0.0	4.79	0.81	[6.0]	
0.67	3.37	0.0	2.94	7.03	0.0	1.96	6.22	0.0	[6.0]	
4.88	3.89	0.0	6.83	5.52	0.0	3.44	6.63	0.0	[6.0]	
0.67	3.08	0.0	0.0	9.73	1.21	0.0	7.34	3.3	[6.0]	
0.67	4.73	0.0	0.0	10.24	0.0	0.0	6.8	0.0	[6.0]	
0.68	4.42	0.0	0.0	12.19	0.0	0.0	6.28	0.0	[6.0]	
